id,name_jp,name_en,category_jp,category_en,brewery_jp,brewery_en,region_jp,region_en,style_jp,style_en,rice_jp,rice_en,rice_polish,abv,smv,acidity_value,aroma_jp,aroma_en,palate_jp,palate_en,pairing_jp,pairing_en,temp_jp,temp_en,glass_jp,glass_en,copy_jp,copy_en,sweet,aroma_intensity,body,acidity,提供価格,在庫,ジャンル,商品名,分類タイプ,使用米,精米歩合,アルコール度数,蔵元,産地,香りノート,味わいコメント,ボディ,推奨提供温度,推奨グラス,ペアリング料理,一言コピー,qty
mimurosugi_bodaimoto,みむろ杉 菩提酛,Mimurosugi Bodaimoto,純米酒,Junmai,今西酒造,Imanishi Shuzo,奈良県,Nara,生酛クラシック,Bodaimoto Classic,山田錦,Yamada Nishiki,70,14.5,-1,1.8,乳酸 穀物,Lactic grain,柔らかな旨みと酸,Soft umami with acidity,和食,Japanese food,常温〜ぬる燗,Room to warm,平盃,Sake cup,奈良県を代表する、旨み深い一本,"Rich, umami-driven sake from Nara.",3,2,3,4,1800,あり,純米,みむろ杉 菩提酛,Rich and Umami Forward,山田錦,70,14.5,今西酒造,奈良,乳酸系,穏やかな旨み,ミディアム,常温,平盃,白身魚,奈良県を代表する、旨み深い一本,1
shiratamaka_nama,白玉香 純米生原酒,Shiratamaka Nama Junmai,純米酒,Junmai,白玉香酒造,Shiratamaka Shuzo,新潟県,Niigata,フレッシュ生酒,Fresh Nama,五百万石,Gohyakumangoku,60,17,0,1.6,青リンゴ 米,Green apple rice,瑞々しく軽快,Fresh and lively,天ぷら,Tempura,冷酒,Chilled,ワイングラス,Wine glass,新潟県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Niigata.",2,3,2,2,1900,あり,純米,白玉香 純米生原酒,Light and Refreshing,五百万石,60,17,白玉香酒造,新潟,青リンゴ,軽快,ライト,冷酒,ワイングラス,天ぷら,新潟県を代表する、軽やかで爽やかな一本,1
gozenshu,御前酒,Gozenshu,純米酒,Junmai,御前酒蔵,Gozenshu Brewery,岡山県,Okayama,クラシックモダン,Classic Modern,雄町,Omachi,65,15,2,1.7,米 乳酸,Rice lactic,骨太な旨み,Structured umami,焼魚,Grilled fish,常温,Room,平盃,Sake cup,岡山県を代表する、旨み深い一本,"Rich, umami-driven sake from Okayama.",2,2,4,3,1700,あり,純米,御前酒,Rich and Umami Forward,雄町,65,15,御前酒蔵,岡山,米系,骨太,フル,常温,平盃,焼魚,岡山県を代表する、旨み深い一本,1
aramasa,新政,Aramasa,純米酒,Junmai,新政酒造,Aramasa Brewery,秋田県,Akita,ナチュラルモダン,Natural Modern,秋田酒こまち,Akita Komachi,60,13,0,1.9,柑橘 ハーブ,Citrus herbs,透明感ある酸,Clear acidity,前菜,Appetizers,冷酒,Chilled,ワイングラス,Wine glass,秋田県を代表する、華やかでフルーティな一本,"Elegant, fruit-forward sake from Akita.",3,4,2,4,2800,あり,純米,新政,Fruity and Sweet,秋田酒こまち,60,13,新政酒造,秋田,柑橘系,シャープ,ライト,冷酒,ワイングラス,前菜,秋田県を代表する、華やかでフルーティな一本,1
jikon,而今,Jikon,純米吟醸,Junmai Ginjo,木屋正酒造,Kimoto Brewery,三重県,Mie,モダン吟醸,Modern Ginjo,山田錦,Yamada Nishiki,50,15,1,1.6,洋梨 メロン,Pear melon,上品な甘旨,Elegant umami,和食全般,Japanese cuisine,冷酒,Chilled,ワイングラス,Wine glass,三重県を代表する、華やかでフルーティな一本,"Elegant, fruit-forward sake from Mie.",4,4,3,2,3200,あり,吟醸,而今,Fruity and Sweet,山田錦,50,15,木屋正酒造,三重,果実香,上品,ミディアム,冷酒,ワイングラス,和食,三重県を代表する、華やかでフルーティな一本,1
denshu,田酒,Denshu,純米吟醸,Junmai Ginjo,西田酒造店,Nishida Shoten,青森県,Aomori,王道旨口,Classic Umami,華吹雪,Hanafubuki,55,16,1,1.5,米 甘香,Rice sweet,厚みある旨み,Rich umami,煮物,Simmered dishes,冷酒,Chilled,平盃,Sake cup,青森県を代表する、旨み深い一本,"Rich, umami-driven sake from Aomori.",3,2,4,2,2600,あり,吟醸,田酒,Rich and Umami Forward,華吹雪,55,16,西田酒造店,青森,米香,厚み,フル,冷酒,平盃,煮物,青森県を代表する、旨み深い一本,1
haccoba_kasu,Haccoba Kasu,Haccoba Kasu,その他,Other,Haccoba,Haccoba,福島県,Fukushima,クラフト酒,Experimental Sake,米,Rice,90,12,-5,2.2,ヨーグルト 柑橘,Yogurt citrus,酸味主体,Sour driven,スパイス料理,Spiced food,冷酒,Chilled,ワイングラス,Wine glass,福島県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Fukushima.",2,3,1,5,2200,あり,その他,Haccoba Kasu,Light and Refreshing,米,90,12,Haccoba,福島,酸系,シャープ,ライト,冷酒,ワイングラス,スパイス料理,福島県を代表する、軽やかで爽やかな一本,1
jyuyondai,十四代,Juyondai,純米吟醸,Junmai Ginjo,高木酒造,Takagi Shuzo,山形県,Yamagata,華やか吟醸,Elegant Ginjo,山田錦,Yamada Nishiki,50,15,2,1.4,桃 バナナ,Peach banana,甘美で滑らか,Luxurious smooth,和食全般,Japanese cuisine,冷酒,Chilled,ワイングラス,Wine glass,山形県を代表する、華やかでフルーティな一本,"Elegant, fruit-forward sake from Yamagata.",5,5,3,1,4500,あり,吟醸,十四代,Fruity and Sweet,山田錦,50,15,高木酒造,山形,果実香,極上,ミディアム,冷酒,ワイングラス,和食,山形県を代表する、華やかでフルーティな一本,1
kounotsukasa,孝の司,Kounotsukasa,純米吟醸,Junmai Ginjo,柴田酒造場,Shibata Shuzo,愛知県,Aichi,穏やか吟醸,Gentle Ginjo,若水,Wakamizu,60,15,1,1.5,白花 米,White flower rice,柔らかい口当たり,Soft palate,前菜,Appetizers,冷酒,Chilled,ワイングラス,Wine glass,愛知県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Aichi.",2,2,2,2,1900,あり,吟醸,孝の司,Light and Refreshing,若水,60,15,柴田酒造場,愛知,白花系,柔らか,ライト,冷酒,ワイングラス,前菜,愛知県を代表する、軽やかで爽やかな一本,1
omine_3grain,大嶺三粒,Omine 3 Grain,純米大吟醸,Junmai Daiginjo,大嶺酒造,Omine Shuzo,山口県,Yamaguchi,モダンフルーティ,Modern Fruity,山田錦,Yamada Nishiki,50,14,0,1.4,洋梨 白桃,Pear peach,透明感と甘み,Clear sweetness,白身魚,White fish,冷酒,Chilled,ワイングラス,Wine glass,山口県を代表する、華やかでフルーティな一本,"Elegant, fruit-forward sake from Yamaguchi.",4,4,2,1,2800,あり,大吟醸,大嶺三粒,Fruity and Sweet,山田錦,50,14,大嶺酒造,山口,果実香,透明感,ライト,冷酒,ワイングラス,白身魚,山口県を代表する、華やかでフルーティな一本,1
wakanami_fy2,若波 純米吟醸 TYPE FY2,Wakanami FY2,純米吟醸,Junmai Ginjo,若波酒造,Wakanami Shuzo,福岡県,Fukuoka,フレッシュ吟醸,Fresh Ginjo,山田錦,Yamada Nishiki,55,15,1,1.5,柑橘 白花,Citrus flower,軽快で瑞々しい,Fresh and smooth,前菜,Appetizers,冷酒,Chilled,ワイングラス,Wine glass,福岡県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Fukuoka.",3,3,2,2,2100,あり,吟醸,若波 FY2,Light and Refreshing,山田錦,55,15,若波酒造,福岡,柑橘系,瑞々しい,ライト,冷酒,ワイングラス,前菜,福岡県を代表する、軽やかで爽やかな一本,1
pukupuku_sususu,ぷくぷくホップSuSuSu,PukuPuku Hop SuSuSu,その他,Other,寒菊銘醸,Kankiku Meijo,千葉県,Chiba,低アルコール発泡,Low-ABV Sparkling,米,Rice,90,7,-20,3,柑橘 ホップ,Citrus hop,爽快で軽やか,Refreshing light,前菜,Appetizers,冷酒,Chilled,フルートグラス,Flute glass,千葉県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Chiba.",4,3,1,5,1800,あり,その他,ぷくぷくホップSuSuSu,Light and Refreshing,米,90,7,寒菊銘醸,千葉,柑橘,爽快,ライト,冷酒,フルート,前菜,千葉県を代表する、軽やかで爽やかな一本,1
chord,チュード,Chord,純米酒,Junmai,土田酒造,Tsuchida Shuzo,群馬県,Gunma,ナチュラル系,Natural Style,食用米,Table rice,90,13,-3,2,穀物 ナッツ,Grain nutty,自然な旨み,Natural umami,野菜料理,Vegetables,常温,Room,平盃,Sake cup,群馬県を代表する、旨み深い一本,"Rich, umami-driven sake from Gunma.",2,2,3,3,2000,あり,純米,チュード,Rich and Umami Forward,食用米,90,13,土田酒造,群馬,穀物,自然派,ミディアム,常温,平盃,野菜,群馬県を代表する、旨み深い一本,1
kirinzan,麒麟山 伝統辛口,Kirinzan Classic Dry,普通酒,Futsushu,麒麟山酒造,Kirinzan Shuzo,新潟県,Niigata,淡麗辛口,Classic Dry,五百万石,Gohyakumangoku,65,15,8,1.3,米 ドライ,Rice dry,キレの良さ,Crisp finish,焼鳥,Yakitori,冷酒〜燗,Chilled to warm,平盃,Sake cup,新潟県を代表する、キレの良い辛口の一本,"Crisp, dry sake with a clean finish from Niigata.",1,1,2,1,1400,あり,普通酒,麒麟山 伝統辛口,Dry and Sharp,五百万石,65,15,麒麟山酒造,新潟,米香,キレ,ライト,冷酒,平盃,焼鳥,新潟県を代表する、キレの良い辛口の一本,1
abe_star,阿部 スターシリーズ,Abe Star Series,純米酒,Junmai,阿部酒造,Abe Shuzo,新潟県,Niigata,実験的モダン,Experimental Modern,越淡麗,Koshitanrei,60,14,0,1.8,柑橘 米,Citrus rice,軽快で個性的,Unique and light,前菜,Appetizers,冷酒,Chilled,ワイングラス,Wine glass,新潟県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Niigata.",3,3,2,3,2300,あり,純米,阿部 スターシリーズ,Light and Refreshing,越淡麗,60,14,阿部酒造,新潟,柑橘系,個性的,ライト,冷酒,ワイングラス,前菜,新潟県を代表する、軽やかで爽やかな一本,1
gakki_masamune,楽器政宗 純米大吟醸 山田錦,Gakki Masamune Yamada Nishiki,純米大吟醸,Junmai Daiginjo,大木代吉本店,Okidaya Brewery,福島県,Fukushima,モダン透明感,Clear Modern,山田錦,Yamada Nishiki,50,14,0,1.4,白桃 ハーブ,Peach herb,澄んだ旨み,Clear umami,白身魚,White fish,冷酒,Chilled,ワイングラス,Wine glass,福島県を代表する、華やかでフルーティな一本,"Elegant, fruit-forward sake from Fukushima.",3,4,2,2,2600,あり,大吟醸,楽器政宗,Fruity and Sweet,山田錦,50,14,大木代吉本店,福島,白桃,透明感,ライト,冷酒,ワイングラス,白身魚,福島県を代表する、華やかでフルーティな一本,1
wakanami_daiginjo,若波 純米大吟醸,Wakanami Junmai Daiginjo,純米大吟醸,Junmai Daiginjo,若波酒造,Wakanami Shuzo,福岡県,Fukuoka,華やか吟醸,Elegant Ginjo,山田錦,Yamada Nishiki,45,15,1,1.4,白桃 花,White peach flower,華やかで滑らか,Elegant smooth,刺身,Sashimi,冷酒,Chilled,ワイングラス,Wine glass,福岡県を代表する、華やかでフルーティな一本,"Elegant, fruit-forward sake from Fukuoka.",4,4,3,2,3000,あり,大吟醸,若波 純米大吟醸,Fruity and Sweet,山田錦,45,15,若波酒造,福岡,白桃系,華やか,ミディアム,冷酒,ワイングラス,刺身,福岡県を代表する、華やかでフルーティな一本,1
hakurakusei,伯楽星,Hakurakusei,純米吟醸,Junmai Ginjo,新澤醸造店,Nizawa Brewery,宮城県,Miyagi,究極の食中酒,Ultimate Food Sake,蔵の華,Kuranohana,55,15,2,1.5,控えめ果実,Subtle fruit,料理を引き立てる,Food enhancing,和食,Japanese cuisine,冷酒,Chilled,平盃,Sake cup,宮城県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Miyagi.",2,2,2,2,2200,あり,吟醸,伯楽星,Light and Refreshing,蔵の華,55,15,新澤醸造店,宮城,控えめ,食中,ライト,冷酒,平盃,和食,宮城県を代表する、軽やかで爽やかな一本,1
kushira,櫛羅,Kushira,純米酒,Junmai,千代酒造,Chiyo Shuzo,奈良県,Nara,山廃系,Kimoto Style,山田錦,Yamada Nishiki,70,14,3,1.9,乳酸 米,Lactic rice,深い旨み,Deep umami,煮物,Simmered dishes,燗,Warm,平盃,Sake cup,奈良県を代表する、旨み深い一本,"Rich, umami-driven sake from Nara.",2,2,4,4,1900,あり,純米,櫛羅,Rich and Umami Forward,山田錦,70,14,千代酒造,奈良,乳酸系,深み,フル,燗,平盃,煮物,奈良県を代表する、旨み深い一本,1
urazato,浦里,Urazato,純米吟醸,Junmai Ginjo,浦里酒造店,Urazato Shuzo,茨城県,Ibaraki,クラシック吟醸,Classic Ginjo,五百万石,Gohyakumangoku,60,15,2,1.6,米 花,Rice flower,穏やかな旨み,Gentle umami,焼魚,Grilled fish,冷酒,Chilled,平盃,Sake cup,茨城県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Ibaraki.",2,2,3,2,1800,あり,吟醸,浦里,Light and Refreshing,五百万石,60,15,浦里酒造店,茨城,米香,穏やか,ライト,冷酒,平盃,焼魚,茨城県を代表する、軽やかで爽やかな一本,1
utashiro,雅楽代,Utashiro,純米酒,Junmai,天領盃酒造,Tenryohai Shuzo,新潟県,Niigata,透明感系,Clear Style,五百万石,Gohyakumangoku,65,14,0,1.5,白花 ミネラル,White flower mineral,静かな旨み,Quiet umami,前菜,Appetizers,冷酒,Chilled,ワイングラス,Wine glass,新潟県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Niigata.",2,3,2,2,2000,あり,純米,雅楽代,Light and Refreshing,五百万石,65,14,天領盃酒造,新潟,白花系,静か,ライト,冷酒,ワイングラス,前菜,新潟県を代表する、軽やかで爽やかな一本,1
asahiei,朝日榮,Asahiei,純米吟醸,Junmai Ginjo,相良酒造,Sagara Shuzo,栃木県,Tochigi,クラシック吟醸,Classic Ginjo,五百万石,Gohyakumangoku,55,15,1,1.5,米 ほのか,Rice subtle,穏やかな旨み,Gentle umami,和食,Japanese cuisine,冷酒,Chilled,平盃,Sake cup,栃木県を代表する、軽やかで爽やかな一本,"Light, refreshing sake made for food from Tochigi.",2,2,3,2,1900,あり,吟醸,朝日榮,Light and Refreshing,五百万石,55,15,相良酒造,栃木,米香,実直,ライト,冷酒,平盃,和食,栃木県を代表する、軽やかで爽やかな一本,1
akabu,赤武,Akabu,純米吟醸,Junmai Ginjo,赤武酒造,Akabu Shuzo,岩手県,Iwate,モダン吟醸,Modern Ginjo,吟ぎんが,Ginginga,60,14,1,1.5,赤リンゴ,Red apple,瑞々しい甘み,Juicy sweetness,刺身,Sashimi,冷酒,Chilled,ワイングラス,Wine glass,岩手県を代表する、華やかでフルーティな一本,"Elegant, fruit-forward sake from Iwate.",3,4,2,2,2300,あり,吟醸,赤武,Fruity and Sweet,吟ぎんが,60,14,赤武酒造,岩手,果実香,瑞々しい,ライト,冷酒,ワイングラス,刺身,岩手県を代表する、華やかでフルーティな一本,1
senkin,仙禽,Senkin,純米酒,Junmai,せんきん,SENKIN Brewery,栃木県,Tochigi,ナチュラル酸,Natural Acidity,山田錦,Yamada Nishiki,60,13,-2,2.1,柑橘 乳酸,Citrus lactic,酸と旨みの調和,Balanced acidity,前菜,Appetizers,冷酒,Chilled,ワイングラス,Wine glass,栃木県を代表する、華やかでフルーティな一本,"Elegant, fruit-forward sake from Tochigi.",3,4,2,4,2400,あり,純米,仙禽,Fruity and Sweet,山田錦,60,13,せんきん,栃木,柑橘系,酸と旨み,ライト,冷酒,ワイングラス,前菜,栃木県を代表する、華やかでフルーティな一本,1